ISIN,Company_Name,BSE_Scrip_Code,NSE_Symbol
INE428P01013,SEA GOLD AQUA FARMS LTD.      ,530361,
INE430B01019,ZR INFRA LIMITED,202047,
INE430F01010,KUWER INDUSTRIES LTD.  ,530421,
INE431C01023,SURYAVANSHI SPINNING MILLS LTD,514140,
INE431Z01016,AGGARSAIN SPINNERS LTD ,207648,
INE438D01018,MALABAR TRADING CO.LTD.,501473,
INE448D01017,PADAM COTTON YARNS LTD.,531395,
INE449U01019,GANESH FOUNDRY & CASTINGS LTD.,513448,
INE450L01024,CENTRON INDUSTRIAL ALLIANCE LT,509499,
INE451S01019,VMV Holidays Limited   ,539222,
INE452B01013,RELIC TECHNOLOGIES LTD.,511712,
INE453S01015,KANUNGO FINANCIERS LIMITED    ,540515,
INE454E01013,TRIJAL INDUSTRIES LTD. ,531658,
INE455C01014,DEVINE IMPEX LTD.      ,531585,
INE455J01027,AUSTRAL COKE & PROJECTS LTD.  ,533016,AUSTRAL
INE456B01014,INDO-CITY INFOTECH LTD.,532100,
INE457E01016,VALLABH STEELS LTD.    ,513397,
INE457Y01014,Kids Medical Systems Limited  ,540812,
INE464D01014,VAPI PAPER MILLS LTD.  ,502589,
INE464R01022,SARNIMAL INVESTMENT LTD,205845,
INE465H01012,SHARMA EAST INDIA HOSPITALS & ,524548,
INE469B01017,OSWAL MINERALS LIMITED ,201947,
INE469F01026,KCL Infra Projects Limited    ,531784,
INE473C01025,STRATMONT INDUSTRIES LIMITED  ,530495,
INE474B01017,PSL LTD. ,526801,PSL
INE478B01018,Netripples Software Limited   ,542117,
INE479C01014,ROSELABS LTD.   ,535503,
INE480M01011,THOMAS SCOTT (INDIA) LIMITED  ,533941,THOMASCOTT
INE484S01010,PECOS Hotels And Pubs Limited ,539273,
INE486C01019,UNIWORTH TEXTILES LTD. ,500138,
INE489B01015,SHRADHA INDUSTRIES LTD ,203874,
INE491D01017,BIJOY HANS LTD. ,524723,
INE492N01022,AMALGAMATED ELECTRICITY CO.LTD,501622,
INE494D01011,CITIPORT FINANCIAL SERVICES LT,531235,
INE495J01015,PRADIP OVERSEAS LTD    ,533178,
INE498G01015,KATARE SPINNING MILLS LTD.    ,502933,
INE499Q01012,SOFCOM SYSTEMS LIMITED ,538923,
INE502D01011,IO SYSTEM LTD.  ,523752,
INE502K01016,TALWALKARS BETTER VALUE FITNES,533200,TALWALKARS
INE507D01010,INCON ENGINEERS LTD.   ,531594,
INE507Y01016,S K S TEXTILES LIMITED ,202169,SKSTEXTILE
INE508J01015,BERYL SECURITIES LTD.  ,531582,
INE508N01025,JACKSON INVESTMENTS LTD,538422,
